千二百五十人,twelve hundred and fifty people
一千二百五十,1250
跋陀羅耶尼,Bhadrayāniyāh
迦蘭陀竹園,Kalandaka-nivāsa
摩訶僧祇部,Mahāsāṃghika
頻婆娑羅王,King Bimbisāra
婆收婁多柯,Bahuśrutīya
千二百五十,one thousand two hundred and fifty
舍利弗問經,Sutra on the Inquiry of Śāriputra
八部鬼神,eight kinds of spiritual beings
八萬四千,eighty-four thousand
鞞婆訶羅,Ekavyāvahārika
不非時食,abstention from eating at inappropriate times
不可稱量,immeasurable
不能分別,cannot discriminate
從座而起,to arise from oneʼs seat
大目犍連,Mahāmaudgalyāyana
提婆達多,Devadatta
二百五十,two-hundred fifty
發菩提心,to arouse the mind (thought) of intention to achieve enlightenment
弗沙蜜多,Puṣyamitra
供養三寶,make offerings to the three treasures
過去世時,in a past life
迦留陀夷,Kālôdayin
迦葉維部,Kāśyapīya school
皆大歡喜,all were overjoyed
彌勒菩薩,Maitreya Bodhisattva
彌勒下生,descent of Maitreya
彌沙塞部,Mahīśāsaka school
摩訶迦葉,Mahākāśyapa
摩訶僧祇,Mahāsāṃghika
摩訶提婆,Mahādeva
摩睺羅伽,mahoraga
偏袒右肩,to bare the right shoulder and turn it toward (the Buddha)
頻婆娑羅,Bimbisāra
貧窮下賤,poor and humble because of greed
婆羅門家,the house of a Brāhmaṇa
七日七夜,seven days and seven nights
入滅盡定,entering into the concentration of total extinction [of mental activity]
如是我聞,thus have I heard
薩婆多部,Sarvâstivāda
沙那利迦,Ṣaṇṇagarika
善哉善哉,excellent
生歡喜心,to become happy
式叉摩尼,śikṣamāṇā
是義云何,what does this mean?
檀波羅蜜,perfection of giving
文殊師利,Mañjuśrī
五百羅漢,five hundred arhats
無有休息,without respite
無諍三昧,no-strife concentration
邪見稠林,thickets of non-Buddhists
行菩薩道,following the path of the bodhisattva
亦復如是,...is the same as this
以何因緣,by what causes and conditions...?
一千二百,1200
優波笈多,Upagupta
優婆提舍,(Skt. upadeśa)
云何得知,how can (it) be known?
長老比丘,elder bhikṣu
智慧第一,greatest in wisdom
種種供養,various and sundry offerings
諸行無常,all things are in a state of incessant change
阿羅漢,arhat
阿那律,Aniruddha
阿難陀,Ānanda
阿修羅,asura
白佛言,...addressed the Buddha  saying...
巴連弗,Pāṭaliputra
跋難陀,Upananda
跋陀羅,(Skt. bhadra)
八萬四,eighty-four thousand
被袈裟,to don monastic robes
賓頭盧,Piṇḍola
比丘名,monkʼs name
比丘尼,bhikṣuṇī
比丘行,bhikṣuʼs practice
波羅蜜,pāramitā
不得不,to have no choice but to
不可稱,indescribable
不能得,cannot attain
不受食,forbidden food
不忘禪,meditation of not forgetting
不應食,should not eat
不與取,taking that which has not been given
出家者,renunciant monk
出生死,to escape cyclic existence
出世道,supramundane paths
大比丘,great bhikṣu
大歡喜,great joy
大迦葉,Mahākāśyapa
得出家,to succeed in renouncing the world
得除愈,to get rid of a disease and heal it
燈明佛,Candrârkadīpa
兜率天,Tuṣita Heaven
墮惡趣,falls into negative rebirths
墮負處,loss of an argument
犢子部,Vātsīputrīya
二種業,two kinds of activities
發菩提,arouse the mind determined for enlightenment
非時食,eating at the inappropriate time
佛弟子,disciple(s) of the Buddha
佛法僧,the buddha  the Dharma  and the saṃgha
佛神力,Buddhaʼs supernormal power(s)
佛所說,Buddhaʼs teachings
佛在世,a buddha in this word
父母恩,compassion of fathers and mothers
父母生,born from a mother and father
乾闥婆,gandharva
共分別,discrimination held in common
過去世,past time
何以故,why is it so?
何因緣,what causes and conditions?
歡喜心,cheerful
或有時,there are times when...
迦蘭陀,kalandaka
迦婁羅,garuḍa
見稠林,thicket of views
見道斷,eliminated in the path of seeing
迦葉維,Kāśyapīya
淨無垢,pure
緊那羅,kiṃnara
金毘羅,Kimbila
拘拘羅,kukkuṭa
可稱量,measurable
可言說,expressible
良福田,field of blessings
力所持,supported by (the) power (of)
羅漢道,the path of the arhat
羅睺羅,Rāhula
羅閱祇,Rājagṛha
滅盡定,concentration of total cessation
彌沙塞,Mahīśāsaka school
末多利,Uttaraśaila
摩睺羅,muhūrta
末田地,Madhyântika
目犍連,Maudgalyāyana
那利迦,Nādika
能分別,To discriminate
破戒人,a person who violates the precepts
婆利師,rainy season of retreat
婆羅門,brāhman
菩薩道,bodhisattva path
菩提心,enlightened mind
千二百,1200
其眷屬,oneʼs dependents
人非人,human-yet-not-human
熱鐵丸,red-hot iron-ball
入惡道,enter an evil path
如來說,tathāgata teaches
如來所,where the Tathāgata is
入滅盡,attaining total cessation of mental activity
如是比,in the same way
三惡道,three evil destinies
薩婆多,Sarvâstivāda
僧祇部,Mahāsāṃghika
僧伽藍,(Skt. saṃghârāma)
沙彌尼,śrāmaṇerī
沙摩帝,Saṃmitīya
舍利弗,Śāriputra
生餓鬼,born as a hungry ghost
生歡喜,experiences bliss
甚可悲,extremely pitiable
神通力,supernormal faculties
舍衛國,Śrāvastī
時非時,timely and non-timely
失正念,lose correct mindfulness
世尊說,the World Honored One says...
受戒者,one who has received the precepts
受具戒,full ordination
數數食,to eat repeatedly
娑羅王,Sālêndra-rāja
天帝釋,Śakra Devānām-Indra
提婆達,Devadatta
未來世,future
微妙法,marvelous dharma
未通達,has not fully comprehended
聞正法,hears the correct teaching
無量世,innumerable worlds
無上道,the supreme way
無威德,lacking authoritative presence
邪見網,net of wrong views
行不行,active and inactive
行非法,to act contrary to the Dharma
行無常,impermanence of conditioned phenomena
因緣生,generated from causes and conditions
一切空,all empty
有比丘,there are bhikṣus
優波離,Upāli
優婆塞,(Skt. upāsaka)
優婆夷,upāsikā
愚癡人,a fool
云何名,what do we call...
云何作,how should (we) do (it)?
在家者,a lay-person
丈夫相,mark of personage
長者子,son of a wealthy householder
遮道法,obstructive state
質多羅,Citrā
智慧人,intelligent person
至於此,to arrive to this
種種物,various things
諸比丘,bhikṣus
諸弟子,disciples
作光明,to produce illumination
作如是,to do like this
作沙門,becoming a monk
阿羅,ara
阿那,āna
阿難,Ānanda
懊惱,distress
八百,eight hundred
八部,eight kinds of beings
白佛,to address the buddha
百羅,all kinds of disasters
百年,a hundred years
百千,one hundred thousand
百萬,a million
百餘,more than a hundred
報生,[produced due to] retribution
寶事,Ratnâkara
八日,the 8th  18th  and 28th days of every month
拔舌,pulling out the tongue
跋提,*Bhadrika
跋陀,(Skt. bhadra)
八萬,eighty thousand
本居,original abode
本有,originally existent
本源,source
別有,to exist separately
閉門,to close the gate
病人,sick person
賓頭,(Skt. Piṇḍāra)
比丘,(Skt. bhikṣu)
彼時,that time
波離,Upāli
波羅,fool
薄俗,shallow and mundane
不報,no retribution
不必,unnecessary
不得,impossible
不爾,not so; (or  at the end of a sentence:) is it not so?
不敢,dare not
不盡,unperishing
不淨,impure
不救,does not save
不久,not long
不可,cannot
不肯,does not assent
不滅,inextinguishable
不能,incapable
不取,does not grasp
不如,not like
布施,giving
不失,does not lose
不受,not appropriating
不隨,does not follow
不聽,does not listen
不同,not the same
不忘,not forgetting
不邪,non-debauchery
不信,non-faith
部行,to practice in a group
不行,not practicing
不異,not different
不依,not relying
不應,not associated with
不與,not given
不雜,not mixed
不在,does not exist...
殘害,killing
慚羞,shame
草木,grass and trees
草葉,grasses and leaves
常施,always bestowing
長水,Changshui
常有,always existing
懺悔,repentance
諂誑,flattery
禪思,contemplation
闡陀,Chandaka
成立,to consist of
稱量,to weigh
瞋恚,aversion
沈沒,to sink
癡人,a fool
赤衣,red robes
稠林,dense forest
處處,here and there
出家,to renounce the secular life
畜生,rebirth as an animal
出生,to take birth
出世,to appear in the world
初無,originally nonexistent
除愈,to be healed
慈悲,compassion
次第,order
此時,at that time
此土,this land
次至,next :   one arrives to
從僧,a half-monk
從上,the upper part
從師,to follow the teacher
從座,from oneʼs set
村落,villages
達多,Devadatta
大海,ocean
大劫,a great eon
大林,great forest
當得,imminent
當名,should be named
噉食,to devour
道法,methods of the correct path
倒見,distorted views
道徑,path
導利,to guide and benefit
導師,a guide
道者,practitioner of the Way
大人,great man
大山,great mountain(s)
大捨,great offering
大王,great king(s)
答曰,answer
達者,adept
大智,great cognition
德本,roots of virtue
得不,obtainable or not
得出,escapes
得佛,achieve enlightenment
得果,attained fruit
得見,to be able to see
得戒,to obtain the precepts
燈明,brightness of a burning lamp
等願,vows in common
得食,getting food
得說,can be said
得已,having been attained
得以,can
得一,to attain unity
得知,knowable; apprehensible; cognizable
定力,power of meditation
地神,Pṛthivī
帝釋,Indra
諦聽,to listen carefully
第五,the fifth
地下,under the ground
第一,best
地獄,hell
弟子,student
東晉,Eastern Jin dynasty
兜率,(Skt. Tuṣita)
鬪訟,disputes and quarrels
斷集,to eliminate the cause(s)
斷絕,to sever
端嚴,beautiful
都盡,completely exhausted
多部,Sarvâstivāda
多瞋,much aversion
墮惡,falls into evil
墮負,to be defeated
多羅,a palm [leaf / tree]
多人,a multitude of people
多有,abundant
讀誦,oral reading of the scriptures
犢子,Vātsīputra
惡道,evil destiny
惡法,evil/negative factors
餓鬼,hungry ghost
惡賤,to hate and despise
惡魔,demon(s)
惡趣,evil destinies
二部,two divisions
二十,twenty
二事,two matters; two events
爾時,at that time
二言,duplicitous speech
二種,two kinds
法化,Dharma transformation
法教,Buddhist teaching(s)
法利,benefits of the Dharma
法門,teaching
放逸,negligence
凡人,ordinary person
飯食,food
梵志,brāhmaṇa
反之,on the contrary
犯罪,commit crimes
法僧,ritual-enacting monk
法身,Dharma body
法王,king of the Dharma
發心,arousal of mind
法行,practice according to reality
法眼,dharma-eye
發言,to utter
發揚,make known
法要,summary of the Dharma
法中,amidst phenomena
非法,non-dharma
非人,non-humans
非時,improper time
非我,denial of self-nature
非先,not prior
非行,not carried out
分別,discrimination
奉持,to bear in mind (or memory) with all respect
糞穢,excrement
忿怒,angry
分散,to scatter
分衛,food given as alms
佛道,buddha-way
佛典,a Buddhist scripture
佛法,Buddha-dharma
佛神,the god Buddha
佛說,Buddhaʼs sermon
佛所,buddha-places
佛像,an image of the Buddha
佛言,the Buddha said
佛住,a buddha-abode
負處,to defeat in debate
父母,father and mother
復起,restart
弗沙,Puṣya
復生,renewed appearance
福田,field of merit
覆頭,with the face covered
父王,oneʼs father who is a king
復有,there is also
甘露,nectar
乾闥,(Skt. gandharva)
高心,conceit
高足,superior disciples
更互,one another
更生,rebirth
歌舞,song and dance
功德,merit(s)
恭敬,to respect
供養,to make offerings
廣大,extensive
光明,radiance
廣行,to practice widely
觀身,contemplate oneʼs physical body
觀他,to observe others
鬼神,spirit
過去,past
國土,land
國王,king
故作,therefore [one] makes [does]...
好惡,good things and bad things
號叫,raurava
好樂,delights in
河邊,riverside
何等,what is
黑白,evil karma and good karma
何況,how much more..
訶羅,(Skt. hara)
何如,like what?
何耶,Haya
何以,for what reason. . .?
何因,how
厚薄,thick and thin
後生,later birth
後世,subsequent age
後有,that which is later existent
華光,Padmaprabha
還復,to return
黃衣,yellow robes
歡喜,happiness
化作,to create with supernormal power
護持,to maintain
護法,Dharmapāla
悔過,repentance of transgressions
慧利,intelligent
慧命,life power as a metaphor for wisdom
慧人,wise person
惑亂,confused
或時,sometimes
或有,sometimes there are [there is]
或云,some say . . .
家常,ordinary
加害,to harm
見道,path of seeing
見得,attained through insight
見佛,to see the buddha
將死,will die
堅固,solid
建立,to establish
見網,net of views
薦席,seat
憍慢,pride
袈裟,kāṣāya
迦葉,Kāśyapa
疾病,sickness
集成,collected
嫉妬,jealousy
笈多,Gupta
結病,entangled sickness
劫盜,robber
皆得,all attain
結盡,to bring to an end
潔淨,pure
戒律,moral restraints and rules of discipline
接取,to receive
結使,affliction
解脫,liberation
集會,assembly
伎樂,music
驚怖,terror
敬奉,to honor
淨華,pure flowers
經律,scriptures and rules collections
精勤,to endeavor
精舍,temple
淨勝,superior purity
淨物,pure thing
淨心,pure mind
淨者,something pure
金器,golden vessel
金錢,coin
今身,present body
今生,this life
積善,to accumulate virtue
究暢,to state fully
久後,in the future
救濟,to rescue
積習,(long) ingrained habits
及與,and
眷屬,followers
具戒,full set of precepts
聚落,a village
開導,to guide
開發,to enlighten others
開示,to elucidate
開張,to open up
可悲,lamentable
可稱,measurable
可得,obtainable
可惡,disgusting
可觀,to be observed
可取,to be grasped
可言,can be called
可以,can
可治,treatable
空界,space
孔雀,the peacock
空中,the sky; space
快樂,joy
誑惑,deceit
曠野,wasteland
庫藏,treasure house
枯燥,dried up
癩病,scabies
來世,the future
來現,comes to appear
來至,drawing near
蘭若,araṇya
樂觀,to observe joyfully
兩肩,both shoulders
良善,good
離塵,to free [oneself] from pollution
臨欲,to approach
臨終,to come to the end of oneʼs life
流傳,to transmit
留難,the difficulty of good behavior being hindered by evil
流入,flow into
流通,to flow; to circulate
利行,altruistic acts
離言,inexpressible
利益,efficacy
龍神,dragon-spirit
龍王,dragon-king
漏失,loss
羅漢,luohan
羅睺,Rāhu
羅門,Brahman
羅閱,Rājagṛha
夢想,that which is seen in a dream
門戶,door
門中,in [this or that] aspect
妙法,wonderful dharma
蜜多,pāramitā
滅度,extinction [of mental activity]
滅法,extinction of phenomena
滅盡,cessation
彌勒,Maitreya
名聞,fame
明悟,to illuminate and understand
名曰,called
彌尼,(Skt. maineya)
彌沙,(Skt. *mahī-śāsaka)
摩訶,mahā
摩尼,maṇi
末田,Madhyântika
魔邪,evil tempter māra
魔行,Māra activities
目連,Maudgalyāyana
目前,before the eyes
木人,wooden figure
乃至,up to
那律,Aniruddha
那羅,naṭa
男女,man and woman
南山,Nanshan
難提,Nandi
難陀,Nanda
難修,difficult to practice
那婆,nava
能得,is able to
能感,able to respond
能取,knowing
能捨,indifference
能問,able to ask
能至,can reach
能治,an antidote
年中,within the year
鳥獸,the birds and the beasts
泥洹,(Skt. nirvāṇa)
女人,woman
偏袒,bare on one side
毘尼,(Skt. vinaya)
頻婆,(Skt. vimba)
貧窮,poor
婆達,the act of speaking
婆訶,vāha
破壞,break down
破戒,transgression
婆利,water
婆羅,(Skt. pāla)
破器,broken vessel
婆私,Vasiṣṭha
婆娑,(Skt. bhāṣa)
婆提,Bhadrika
婆耶,payas
普光,universal illumination
菩薩,bodhisattva
菩提,enlightenment
前生,previous lifetime
前世,previous life
千萬,myriad[s]
伽藍,*saṃghârāma
欺誑,deception
擎鉢,to raise oneʼs bowl
請食,to receive and invitation and eat
勤學,to apply oneself to study
勤勇,application of effort
七日,seven days
乞食,begging for food
求出,trying to escape
求佛,to seek Buddhahood
求人,to ask someone
求生,seeking [re-]birth
求索,to seek out
求學,pursue learning; to seek instruction
其一,one and only
其餘,the remaining...
其中,in this
驅逼,to attack
怯弱,to be intimidated
群臣,vassals
取能,subjective grasping
去世,to depart from this world
染色,dyed colors
饒益,to confer benefit
人見,view of existence of a person
人間,human being(s)
人民,common people
人名,personal name
人身,person
人說,someone says
人物,human possessions
人中,among human beings
人作,created (by a person)
熱鐵,hot iron
日夜,daily
如寶,like a jewel
如此,like this
汝等,you (plural) : you guys (Skt. mārsa)
入法,to enter into the Dharma
如佛,buddha-like
如見,having seen
如淨,Rujing
如來,thus-come
入滅,to enter into nirvana
若不,if not
若是,supposing; if
若無,if there is no...
如是,like this
汝說,you say...
如我,like myself
三百,three hundred
三寶,three treasures
三惡,three evil destinies
三昧,(Skt. samādhi)
三千,three thousand
掃地,sweep the ground
薩婆,sarva
僧家,saṃgha
僧祇,incalculable
僧伽,(Skt. saṃgha)
僧中,within the saṃgha
色味,to taste of sex
沙門,śramaṇa
沙彌,śrāmaṇera
善惡,good and evil
上道,the supreme path
善根,wholesome roots
上人,excellent personage
傷損,to harm
上天,to ascend to heaven
善果,good effects
上下,above and below
上座,head seat
善見,excellent vision
山林,mountains and forests
善友,reliable friend
山谷,mountain valley
善哉,excellent!
少時,oneʼs youth
攝護,protect
捨家,to abandon home
舍利,(Skt. śarīra)
舍那,śāna
生慚,ashamed
生得,innately endowed
生惡,to give rise to evil
勝負,winning and losing
勝進,advancing onto the next level
生滅,arising and ceasing
生起,coming into existence
生人,to give birth to a human
生善,produce goodness
生死,birth and death
